strain	virus	date	accesion	host	country	region	db	segment	url	
CABYV-R-TW82_Taiwan_2009	CABYV	2009-XX-XX	JQ700306.1	Luffa	Taiwan	Tainan County	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/JQ700306.1 	
CABYV-JAN_Japan_2009	CABYV	2009-XX-XX	GQ221224.1	Cucumber	Japan	Okayama	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/GQ221224.1	
378-10_serbia_2010	CABYV	2010-XX-XX	JX262090.1	Zucchini	Serbia	Serbia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/JX262090.1	
356-10_serbia_2010	CABYV	2010-XX-XX	JX262089.1	Zucchini	Serbia	Serbia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/JX262089.1	
351-10_serbia_2010	CABYV	2010-XX-XX	JX262088.1	Zucchini	Serbia	Serbia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/JX262088.1	
350-10_serbia_2010	CABYV	2010-XX-XX	JX262087.1	Zucchini	Serbia	Serbia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/JX262087.1	
349-10_serbia_2010	CABYV	2010-XX-XX	JX262086.1	Zucchini	Serbia	Serbia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/JX262086.1	
346-10_serbia_2010	CABYV	2010-XX-XX	JX262085.1	Zucchini	Serbia	Serbia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/JX262085.1	
343-10_serbia_2010	CABYV	2010-XX-XX	JX262084.1	Zucchini	Serbia	Serbia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/JX262084.1	
336-10_serbia_2010	CABYV	2010-XX-XX	JX262083.1	Pumpkin	Serbia	Serbia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/JX262083.1	
298-10_serbia_2010	CABYV	2010-XX-XX	JX262082.1	Zucchini	Serbia	Serbia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/JX262082.1	
CABYV-R-PH11_philippines_2010	CABYV	2010-XX-XX	HQ700824.1	Luffa	Philippines	Pangasinan province	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/HQ700824.1	
CABYV-C-PH1_philippines_2010	CABYV	2010-XX-XX	HQ700823.1	Cucumber	Philippines	Manila	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/HQ700823.1	
C-TH25_thailand_2010	CABYV	2010-XX-XX	KF427704.1	Cucumber	Thailand	Nakhon Pathom	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/KF427704.1	
R-TH18_thailand_2010	CABYV	2010-XX-XX	KF427707.1	Coccinia grandis	Thailand	Nakhon Pathom	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/KF427707.1	
C19_turkey_2011	CABYV	2011-XX-XX	MT219984.1	Zucchini	Turkey	Ankara	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MT219984.1	
C16_turkey_2011	CABYV	2011-XX-XX	MT219982.1	Melon	Turkey	Ankara	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MT219982.1	
C12_turkey_2011	CABYV	2011-XX-XX	MT219981.1	Zucchini	Turkey	Ankara	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MT219981.1	
